Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Naik, Abha; Yeniaras, Esra; Hellstern, Gerhard; Prasad, Grishma; Vishwakarma, Sanjay Kumar Lalta Prasad; ",From portfolio optimization to quantum blockchain and security: A systematic review of quantum computing in finance,arXiv preprint arXiv:2307.01155,,,,2023,
"Lang, Jonas; Zielinski, Sebastian; Feld, Sebastian; ","Strategic portfolio optimization using simulated, digital, and quantum annealing",Applied Sciences,12,23,12288,2022,MDPI
"Palmer, Samuel; Sahin, Serkan; Hernandez, Rodrigo; Mugel, Samuel; Orus, Roman; ",Quantum portfolio optimization with investment bands and target volatility,arXiv preprint arXiv:2106.06735,,,,2021,
"Mugel, Samuel; Kuchkovsky, Carlos; Sanchez, Escolastico; Fernandez-Lorenzo, Samuel; Luis-Hita, Jorge; Lizaso, Enrique; Orus, Roman; ",Dynamic portfolio optimization with real datasets using quantum processors and quantum-inspired tensor networks,Physical Review Research,4,1,013006,2022,APS
"Owhadi-Kareshk, Moein; Boulanger, Pierre; ",Portfolio optimization on classical and quantum computers using PortFawn,arXiv preprint arXiv:2112.08998,,,,2021,
"Cohen, Jeffrey; Khan, Alex; Alexander, Clark; ",Portfolio optimization of 60 stocks using classical and quantum algorithms,arXiv preprint arXiv:2008.08669,,,,2020,
"Chou, Yao-Hsin; Jiang, Yu-Chi; Kuo, Shu-Yu; ",Portfolio optimization in both long and short selling trading using trend ratios and quantum-inspired evolutionary algorithms,IEEE Access,9,,152115-152130,2021,IEEE
"Fernández-Lorenzo, Samuel; Porras, Diego; García-Ripoll, Juan José; ",Hybrid quantum–classical optimization with cardinality constraints and applications to finance,Quantum Science and Technology,6,3,034010,2021,IOP Publishing
"Baker, Jack S; Radha, Santosh Kumar; ",Wasserstein solution quality and the quantum approximate optimization algorithm: a portfolio optimization case study,arXiv preprint arXiv:2202.06782,,,,2022,
"Dalzell, Alexander M; Clader, B David; Salton, Grant; Berta, Mario; Lin, Cedric Yen-Yu; Bader, David A; Stamatopoulos, Nikitas; Schuetz, Martin JA; Brandão, Fernando GSL; Katzgraber, Helmut G; ",End-to-end resource analysis for quantum interior-point methods and portfolio optimization,PRX Quantum,4,4,040325,2023,APS
"Tripathy, Saswati Soumya; Koul, Neerja; Patel, Hemil; ",Comparative Study between Quantum and Classical Methods: Few Observations from Portfolio Optimization Problem,2022 International Conference on Trends in Quantum Computing and Emerging Business Technologies (TQCEBT),,,1-5,2022,IEEE
"Lai, Yun-Ting; Chang, Ming-Ho; Tong, Yong Feng; Jiang, Yu-Chi; Chou, Yao-Hsin; Kuo, Shu-Yu; ",Portfolio optimization decision-making system by quantum-inspired metaheuristics and trend ratio,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,,1748-1753,2022,IEEE
"Chaiboonsri, Chukiat; Wannapan, Satawat; ",Multi-process analysis and portfolio optimization based on quantum mechanics (QM) under risk management in ASEAN Exchanges: A Case Study of Answering to the E-Commerce and E-Business Direction,Research Anthology on Advancements in Quantum Technology,,,400-415,2021,IGI Global
"Gustafson, Karl; Gustafson, Karl E; ","Antieigenvalue analysis: with applications to numerical analysis, wavelets, statistics, quantum mechanics, finance and optimization",,,,,2011,World Scientific
"Osaba, Eneko; Gelabert, Guillaume; Villar-Rodriguez, Esther; Asla, Antón; Oregi, Izaskun; ",A Quantum Computing-based System for Portfolio Optimization using Future Asset Values and Automatic Reduction of the Investment Universe,arXiv preprint arXiv:2309.12627,,,,2023,
"Jiang, Yu-Chi; Lai, Yun-Ting; Chen, Po-Chun; Wu, Kun-Min; Chang, Yu-Yu; Tong, Yong Feng; Kuo, Shu-Yu; Chou, Yao-Hsin; ",An Innovative Quantum-Inspired Hybrid Strategy and In-Depth Analysis of Cross-Market Portfolio Optimization,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,,2966-2971,2023,IEEE
"Jain, Naman; Chandra, M Girish; ",Exploring the synergistic potential of quantum annealing and gate model computing for portfolio optimization,arXiv preprint arXiv:2305.01480,,,,2023,
"Baker, Jack; Radha, Santosh; Cunningham, William; ",A bridge between quantum and classical difficulty in portfolio optimization using the Quantum Approximate Optimization Algorithm,APS March Meeting Abstracts,2022,,G38. 008,2022,
"Puntanen, Simo; ","Antieigenvalue Analysis: With Applications to Numerical Analysis, Wavelets, Statistics, Quantum Mechanics, Finance, and Optimization by Karl Gustafson",,,,,2012,Wiley Online Library
"Palmer, Samuel; Sahin, Serkan; Hernandez, Rodrigo; Mugel, Samuel; Orus, Roman; ",Quantum portfolio optimization with investment bands and target volatility (2021),URL https://arxiv. org/abs/2106.06735,,,,,
"Cohen, J; Khan, A; Alexander, C; ",Portfolio optimization of 60 stocks using classical and quantum algorithms (2020),"Preprint, arXiv",,,,2008,
"Mugel, Samuel; Kuchkovsky, Carlos; ","Escolá stico Sánchez, Samuel Fernández-Lorenzo, Jorge Luis-Hita, Enrique Lizaso, and Román Orús. Dynamic portfolio optimization with real datasets using quantum processors and quantum-inspired tensor networks",Physical Review Research,4,1,,2022,
